subscription_id,industry,country,plan_tier,account_id,a_seats,seats,mrr_amount,is_trial,churn_flag,total_usage_count,total_usage_duration_secs,price_shock_pct,price_post
S-05ad41,HealthTech,US,Pro,A-139c3b,10,41,2009.0,False,False,66,14844,-0.05,1908.55
S-05b080,Cybersecurity,US,Basic,A-b9eed8,11,11,209.0,False,False,44,19545,-0.05,198.54999999999998
S-05b1b6,Cybersecurity,US,Enterprise,A-337bc1,30,34,6766.0,False,False,31,15653,-0.1,6089.400000000001
S-05ef15,FinTech,FR,Basic,A-d42431,22,35,665.0,False,False,25,11525,-0.05,631.75
S-05eff5,Cybersecurity,US,Basic,A-118f1c,32,32,608.0,False,False,56,12687,0.1,668.8000000000001
S-06770c,Cybersecurity,US,Basic,A-1b7577,4,81,1539.0,False,False,55,18579,-0.05,1462.05
S-067c38,FinTech,US,Basic,A-3b5cd1,13,16,304.0,False,False,19,6009,0.05,319.2
S-073381,HealthTech,US,Basic,A-2bc93d,14,14,266.0,False,True,10,4670,0.05,279.3
S-07399c,DevTools,US,Basic,A-4e44e8,3,29,551.0,False,False,54,17008,0.05,578.5500000000001
S-0756ce,Cybersecurity,DE,Pro,A-9badbd,5,77,3773.0,False,False,29,12081,0.05,3961.65
S-078c2b,FinTech,US,Basic,A-354f12,1,7,133.0,False,False,28,7623,0.1,146.3
S-078e94,FinTech,US,Enterprise,A-3a7284,31,31,6169.0,False,False,70,26188,0.0,6169.0
S-07976e,Cybersecurity,IN,Pro,A-81edc3,5,5,245.0,False,False,38,16248,-0.1,220.5
S-07a006,EdTech,US,Enterprise,A-40906c,92,92,18308.0,False,False,30,10908,0.05,19223.4
S-07ace5,EdTech,US,Enterprise,A-71615e,15,32,6368.0,False,False,37,9217,-0.05,6049.599999999999
S-07c2c2,EdTech,US,Basic,A-f1f639,2,5,95.0,False,False,46,11743,0.05,99.75
S-07c505,EdTech,US,Pro,A-bc4d48,35,35,1715.0,False,False,56,22397,-0.05,1629.25
S-07e821,FinTech,US,Pro,A-e61e98,19,37,1813.0,False,False,34,5679,-0.05,1722.35
S-07f282,FinTech,DE,Enterprise,A-88c6ca,5,5,995.0,False,False,84,17718,0.05,1044.75
S-07ff57,DevTools,DE,Pro,A-c608c8,3,58,2842.0,False,False,68,18632,0.1,3126.2000000000003
S-084930,FinTech,US,Enterprise,A-c1e51e,3,3,597.0,False,False,48,13479,-0.05,567.15
S-084f4a,HealthTech,US,Enterprise,A-faa28c,48,48,9552.0,False,True,76,12197,-0.05,9074.4
S-0896bc,Cybersecurity,AU,Enterprise,A-9779ad,40,40,7960.0,False,False,39,9366,0.05,8358.0
S-08a5fd,Cybersecurity,US,Enterprise,A-b9eed8,11,34,6766.0,False,False,45,7730,-0.05,6427.7
S-08c8e1,FinTech,DE,Enterprise,A-31ab9a,3,14,2786.0,False,False,74,31139,-0.05,2646.7
S-08e560,HealthTech,DE,Pro,A-de58ca,15,15,735.0,False,True,61,16678,0.05,771.75
S-08f8d3,FinTech,US,Pro,A-bcf87c,10,21,1029.0,False,False,37,13246,0.05,1080.45
S-09076d,HealthTech,US,Pro,A-87aa7b,24,51,2499.0,False,False,67,15480,-0.1,2249.1
S-09223a,HealthTech,US,Basic,A-e40f45,21,21,399.0,False,False,50,12072,0.1,438.90000000000003
S-09251c,EdTech,US,Enterprise,A-8adedc,4,16,3184.0,False,True,65,15637,0.1,3502.4
S-094e82,HealthTech,US,Basic,A-9ee962,9,9,171.0,False,True,52,11408,-0.05,162.45
S-099dbc,DevTools,CA,Pro,A-812c5b,55,55,2695.0,False,False,55,14628,0.1,2964.5000000000005
S-09d706,Cybersecurity,US,Pro,A-6e08f3,8,8,392.0,False,False,30,10037,-0.05,372.4
S-0a01c5,Cybersecurity,US,Enterprise,A-e888d1,14,16,3184.0,False,False,35,7987,-0.1,2865.6
S-0a2238,Cybersecurity,US,Basic,A-c7ffc2,30,30,570.0,False,False,107,34067,0.05,598.5
S-0a28cd,EdTech,US,Enterprise,A-e5d6ab,3,21,4179.0,False,False,41,10039,0.05,4387.95
S-0a3e58,Cybersecurity,IN,Pro,A-417d2f,4,33,1617.0,False,False,23,4612,0.05,1697.8500000000001
S-0a59be,HealthTech,AU,Enterprise,A-328bd0,18,18,3582.0,False,False,49,13427,0.1,3940.2000000000003
S-0a6b6b,FinTech,FR,Basic,A-d42431,22,22,418.0,False,False,40,16737,-0.1,376.2
S-0a7396,Cybersecurity,IN,Pro,A-54d94a,27,27,1323.0,False,False,32,15671,0.1,1455.3000000000002
S-0a765d,DevTools,US,Basic,A-439b2f,1,4,76.0,False,False,9,5346,0.1,83.60000000000001
S-0a8acf,FinTech,US,Pro,A-55f257,9,13,637.0,False,False,46,15521,-0.1,573.3000000000001
S-0a9660,HealthTech,IN,Enterprise,A-c7e58b,3,10,1990.0,False,False,35,14322,-0.1,1791.0
S-0ab4e8,EdTech,UK,Pro,A-6a4e2d,9,16,784.0,False,False,79,21510,-0.1,705.6
S-0abdec,DevTools,US,Basic,A-4a4c2d,54,54,1026.0,False,False,35,6635,-0.1,923.4
S-0ac09f,FinTech,US,Enterprise,A-7e0a10,46,46,9154.0,False,False,47,16445,0.05,9611.7
S-0ada66,FinTech,DE,Enterprise,A-c4ea60,18,18,3582.0,False,False,108,35035,0.0,3582.0
S-0adca9,Cybersecurity,CA,Basic,A-b3fe05,8,55,1045.0,False,False,80,30473,0.0,1045.0
S-0ae114,DevTools,US,Basic,A-309e54,15,71,1349.0,False,False,51,18017,-0.1,1214.1000000000001
S-0aedf8,Cybersecurity,US,Basic,A-a7bd4b,5,48,912.0,False,False,37,18444,0.0,912.0
S-0b059f,DevTools,US,Basic,A-7c4956,5,5,95.0,False,True,63,20479,0.0,95.0
S-0b25d7,FinTech,IN,Basic,A-0e966d,11,22,418.0,False,False,45,16047,-0.1,376.2
S-0b46b0,DevTools,US,Enterprise,A-de24d5,5,7,1393.0,False,False,53,13209,0.0,1393.0
S-0b62cc,FinTech,US,Enterprise,A-a09355,14,17,3383.0,False,False,19,6118,0.1,3721.3
S-0b73bd,Cybersecurity,US,Enterprise,A-118d55,8,16,3184.0,False,False,23,5558,-0.05,3024.7999999999997
S-0b7de7,DevTools,US,Enterprise,A-eb7fac,7,16,3184.0,False,False,41,13385,-0.05,3024.7999999999997
S-0b7eba,FinTech,US,Enterprise,A-7f4db3,4,8,1592.0,False,False,74,27292,-0.1,1432.8
S-0b8b0c,DevTools,US,Enterprise,A-f17767,1,1,199.0,False,False,85,22360,0.05,208.95000000000002
S-0ba1fe,DevTools,DE,Enterprise,A-5a184f,1,46,9154.0,False,False,90,25706,-0.1,8238.6
S-0bb284,DevTools,US,Pro,A-b07b56,25,27,1323.0,False,False,38,10264,0.05,1389.15
S-0bccd9,Cybersecurity,US,Basic,A-96bbc6,39,39,741.0,False,False,75,21142,-0.05,703.9499999999999
S-0bd442,DevTools,AU,Enterprise,A-ad296b,38,38,7562.0,False,False,32,8810,-0.1,6805.8
S-0bdbb3,HealthTech,AU,Enterprise,A-00cac8,8,39,7761.0,False,False,80,29032,0.1,8537.1
S-0c03b0,FinTech,US,Pro,A-39b19f,1,36,1764.0,False,False,48,12913,0.0,1764.0
S-0c0691,DevTools,IN,Enterprise,A-19b2c8,20,20,3980.0,False,False,74,23955,0.05,4179.0
S-0c43c2,FinTech,US,Pro,A-0f6450,28,28,1372.0,False,False,36,19342,0.0,1372.0
S-0cb4fe,DevTools,US,Enterprise,A-560d27,23,71,14129.0,False,False,35,10595,0.0,14129.0
S-0d33fc,Cybersecurity,US,Enterprise,A-1b707d,1,16,3184.0,False,False,31,13715,-0.1,2865.6
S-0d6ea4,Cybersecurity,UK,Enterprise,A-f44180,9,9,1791.0,False,True,66,26800,0.0,1791.0
S-0d8293,DevTools,UK,Pro,A-425e76,8,71,3479.0,False,False,80,25432,0.1,3826.9
S-0d86a4,Cybersecurity,UK,Pro,A-700ade,1,12,588.0,False,False,16,5951,0.0,588.0
S-0d93fe,HealthTech,US,Basic,A-993085,31,31,589.0,False,False,67,14967,-0.1,530.1
S-0e0578,HealthTech,DE,Basic,A-de58ca,15,15,285.0,False,False,42,20778,0.1,313.5
S-0e12d4,HealthTech,US,Pro,A-a45270,3,13,637.0,False,False,44,9112,-0.05,605.15
S-0e43ee,Cybersecurity,CA,Enterprise,A-09540c,67,67,13333.0,False,False,68,30058,0.0,13333.0
S-0e8b21,EdTech,US,Basic,A-8adedc,4,22,418.0,False,False,45,8280,-0.1,376.2
S-0e9334,EdTech,UK,Basic,A-8ed5dd,5,23,437.0,False,False,44,16557,-0.05,415.15
S-0e9f04,Cybersecurity,US,Enterprise,A-7c83a1,12,12,2388.0,False,False,81,22425,-0.05,2268.6
S-0e9f1e,Cybersecurity,US,Basic,A-7c83a1,12,12,228.0,False,False,90,37086,0.05,239.4
S-0eb2e0,HealthTech,DE,Enterprise,A-970c97,14,14,2786.0,False,False,65,18104,0.1,3064.6000000000004
S-0eba5a,EdTech,IN,Enterprise,A-fb186e,29,29,5771.0,False,False,18,7469,0.0,5771.0
S-0ec442,FinTech,US,Pro,A-d4e0d4,117,117,5733.0,False,False,33,8063,-0.1,5159.7
S-0ecec7,FinTech,IN,Enterprise,A-756192,19,19,3781.0,False,False,74,27635,0.05,3970.05
S-0ed7be,FinTech,US,Pro,A-95b24a,38,47,2303.0,False,False,41,10923,0.1,2533.3
S-0efb82,HealthTech,US,Pro,A-94f8c9,13,13,637.0,False,False,46,12016,0.05,668.85
S-0efc9b,Cybersecurity,US,Basic,A-4bfa33,8,12,228.0,False,False,37,5057,0.1,250.8
S-0eff34,FinTech,US,Pro,A-b2225d,47,47,2303.0,False,False,102,46187,0.1,2533.3
S-0f15b7,HealthTech,US,Pro,A-3a5ad8,9,9,441.0,False,False,38,14326,0.0,441.0
S-0f569f,EdTech,US,Enterprise,A-781cc0,12,12,2388.0,False,False,20,9730,0.1,2626.8
S-0f6f44,EdTech,AU,Pro,A-9b9fe9,5,17,833.0,False,False,36,6819,0.05,874.6500000000001
S-0f7a92,Cybersecurity,UK,Pro,A-700ade,1,1,49.0,False,False,32,7700,0.1,53.900000000000006
S-0fa88d,Cybersecurity,US,Basic,A-54ecc2,4,6,114.0,False,False,50,11648,0.0,114.0
S-0ff1eb,DevTools,US,Enterprise,A-cb5333,33,33,6567.0,False,False,41,8387,0.0,6567.0
S-101324,Cybersecurity,AU,Enterprise,A-8145a0,2,24,4776.0,False,False,63,14807,0.05,5014.8
S-101401,EdTech,US,Pro,A-08e34e,14,58,2842.0,False,False,100,33686,-0.05,2699.9
S-102053,DevTools,US,Enterprise,A-4e0e85,6,6,1194.0,False,False,29,7481,-0.05,1134.3
S-104053,HealthTech,US,Pro,A-2bc93d,14,35,1715.0,False,False,61,21277,0.1,1886.5000000000002
S-104941,Cybersecurity,US,Basic,A-fdfc91,29,29,551.0,False,False,33,9099,-0.1,495.90000000000003
S-106bf6,Cybersecurity,CA,Basic,A-09540c,67,67,1273.0,False,False,58,15857,0.1,1400.3000000000002
S-10bf4d,EdTech,CA,Basic,A-ce66f8,29,29,551.0,False,False,68,23683,0.05,578.5500000000001
S-10f143,EdTech,IN,Basic,A-6f8ad2,1,8,152.0,False,False,57,9021,0.05,159.6
S-111683,DevTools,US,Pro,A-e6afc1,1,68,3332.0,False,False,33,14923,0.05,3498.6000000000004
S-113e86,Cybersecurity,US,Pro,A-96bbc6,39,39,1911.0,False,False,99,27634,0.05,2006.5500000000002
S-115823,EdTech,US,Enterprise,A-9f0b68,10,15,2985.0,False,False,130,38268,0.05,3134.25
S-11939f,EdTech,US,Basic,A-40906c,92,92,1748.0,False,False,44,15324,0.0,1748.0
S-11b2c6,EdTech,US,Basic,A-855a48,14,14,266.0,False,False,38,8472,-0.05,252.7
S-11d378,HealthTech,US,Basic,A-f51f16,1,24,456.0,False,False,24,7210,0.05,478.8
S-11d922,DevTools,AU,Enterprise,A-533452,9,15,2985.0,False,False,83,27316,-0.1,2686.5
S-11e29d,EdTech,US,Basic,A-71615e,15,32,608.0,False,False,52,21504,-0.1,547.2
S-12125f,EdTech,US,Basic,A-e5d6ab,3,3,57.0,False,False,66,23362,-0.1,51.300000000000004
S-1218fd,FinTech,IN,Basic,A-2d4502,7,14,266.0,False,False,61,14822,-0.1,239.4
S-1261fb,Cybersecurity,US,Pro,A-fd7ad3,1,1,49.0,False,False,81,16769,0.0,49.0
S-126e7e,FinTech,IN,Enterprise,A-0f7d77,3,7,1393.0,False,False,50,7184,-0.1,1253.7
S-127844,DevTools,DE,Enterprise,A-f446b6,5,7,1393.0,False,False,34,13436,0.05,1462.65
S-127d0b,Cybersecurity,DE,Pro,A-1e50e0,19,19,931.0,False,False,26,4777,0.1,1024.1000000000001
S-12902a,HealthTech,CA,Enterprise,A-3932db,19,19,3781.0,False,False,45,11610,-0.1,3402.9
S-1299be,HealthTech,US,Basic,A-f45426,9,9,171.0,False,False,61,16586,0.0,171.0
S-129cf4,Cybersecurity,UK,Pro,A-82d8a6,5,16,784.0,False,False,53,13786,0.0,784.0
S-12a13c,Cybersecurity,AU,Enterprise,A-40a557,16,16,3184.0,False,False,46,10846,-0.1,2865.6
S-12bfc8,FinTech,DE,Enterprise,A-31ab9a,3,29,5771.0,False,False,60,30674,0.1,6348.1
S-12ca50,DevTools,UK,Enterprise,A-425e76,8,8,1592.0,False,False,40,8444,-0.1,1432.8
S-12e3ff,Cybersecurity,AU,Enterprise,A-e43bf7,44,44,8756.0,False,False,35,12207,0.0,8756.0
S-132103,FinTech,US,Pro,A-a2485e,3,9,441.0,False,False,78,21193,-0.05,418.95
S-134753,DevTools,UK,Enterprise,A-e83938,2,16,3184.0,False,False,45,8718,0.05,3343.2000000000003
S-13a948,FinTech,US,Enterprise,A-d5a319,15,15,2985.0,False,False,34,14123,0.0,2985.0
S-13c8b6,Cybersecurity,US,Basic,A-89ee83,1,27,513.0,False,False,63,25378,-0.1,461.7
S-13d6d1,DevTools,US,Pro,A-ff79f2,8,10,490.0,False,False,35,8960,0.05,514.5
S-14a685,EdTech,US,Enterprise,A-692f18,5,7,1393.0,False,False,44,14492,-0.1,1253.7
S-14a95a,EdTech,US,Pro,A-ffc04f,13,20,980.0,False,False,56,21457,-0.1,882.0
S-14b7f3,Cybersecurity,US,Basic,A-50bb9f,2,5,95.0,False,False,68,16790,-0.05,90.25
S-14c8b9,DevTools,US,Enterprise,A-aa9511,23,33,6567.0,False,False,22,10428,0.05,6895.35
S-14d515,DevTools,AU,Enterprise,A-eb7c38,5,33,6567.0,False,False,38,12015,0.05,6895.35
S-14f39f,Cybersecurity,US,Basic,A-9affe6,7,19,361.0,False,True,58,15883,-0.05,342.95
S-14f672,EdTech,US,Pro,A-692f18,5,12,588.0,False,False,23,5933,0.0,588.0
S-150930,Cybersecurity,US,Enterprise,A-592832,18,42,8358.0,False,False,78,23454,-0.1,7522.2
S-150c71,Cybersecurity,US,Enterprise,A-4437e4,3,11,2189.0,False,False,81,29587,0.1,2407.9
S-150c8e,DevTools,IN,Pro,A-58b9ff,2,33,1617.0,False,False,88,22764,-0.1,1455.3
S-154119,HealthTech,UK,Basic,A-3d957b,14,73,1387.0,False,False,14,2772,-0.1,1248.3
S-154918,DevTools,DE,Basic,A-c1dfe1,26,26,494.0,False,False,80,36787,0.0,494.0
S-15582c,DevTools,US,Basic,A-600734,29,29,551.0,False,False,51,17380,-0.1,495.90000000000003
S-155e15,DevTools,US,Pro,A-b07b56,25,30,1470.0,False,False,48,11538,-0.05,1396.5
S-15a058,EdTech,US,Pro,A-9208f0,1,2,98.0,False,True,104,31689,-0.05,93.1
S-15a8c0,Cybersecurity,UK,Basic,A-700ade,1,50,950.0,False,False,19,4876,0.05,997.5
S-15be1c,HealthTech,IN,Pro,A-b20d99,20,27,1323.0,False,False,43,14547,0.1,1455.3000000000002
S-15c444,DevTools,US,Pro,A-6965e1,13,13,637.0,False,False,88,22379,-0.1,573.3000000000001
S-15d2d2,Cybersecurity,US,Enterprise,A-96bbc6,39,39,7761.0,False,False,72,25644,-0.1,6984.900000000001
S-162441,Cybersecurity,US,Enterprise,A-249769,4,4,796.0,False,False,53,18593,0.0,796.0
S-162d54,Cybersecurity,US,Basic,A-922109,3,11,209.0,False,False,52,13679,-0.05,198.54999999999998
S-163e64,DevTools,UK,Enterprise,A-dfbd31,14,62,12338.0,False,False,42,17831,0.1,13571.800000000001
S-16486d,HealthTech,FR,Pro,A-0651a4,16,16,784.0,False,False,41,13572,0.05,823.2
S-166024,Cybersecurity,US,Basic,A-443b7c,1,24,456.0,False,False,42,15721,-0.05,433.2
S-16b6dc,HealthTech,DE,Pro,A-794a0b,23,23,1127.0,False,False,76,28014,0.05,1183.3500000000001
S-16be20,HealthTech,US,Pro,A-9c18c4,11,11,539.0,False,False,88,33641,0.0,539.0
S-16dc40,HealthTech,US,Pro,A-ce550d,35,51,2499.0,False,False,72,25700,0.0,2499.0
S-16fb78,HealthTech,CA,Enterprise,A-6843f2,21,21,4179.0,False,False,20,5856,-0.1,3761.1
S-1712e6,EdTech,AU,Pro,A-9b9fe9,5,5,245.0,False,True,56,15099,0.1,269.5
S-172953,FinTech,US,Basic,A-e60f9d,29,29,551.0,False,False,65,12864,0.05,578.5500000000001
S-17f71d,HealthTech,US,Pro,A-e40f45,21,44,2156.0,False,False,94,34799,-0.05,2048.2
S-17fb4d,EdTech,US,Enterprise,A-71615e,15,15,2985.0,False,False,31,5450,0.0,2985.0
S-180859,DevTools,UK,Basic,A-d4ac0e,18,18,342.0,False,False,20,4270,-0.1,307.8
S-180b6c,FinTech,IN,Basic,A-f3ff05,2,30,570.0,False,False,15,4400,-0.1,513.0
S-183073,Cybersecurity,US,Enterprise,A-e7a1e2,3,14,2786.0,False,False,47,8574,0.05,2925.3
S-183502,FinTech,US,Enterprise,A-4e960a,12,71,14129.0,False,False,48,12500,0.0,14129.0
S-18565e,HealthTech,US,Enterprise,A-463db0,15,42,8358.0,False,False,38,6853,0.1,9193.800000000001
S-1876fb,DevTools,CA,Enterprise,A-4f18f0,24,59,11741.0,False,False,48,16959,0.0,11741.0
S-1877a6,DevTools,US,Pro,A-d77f4c,4,6,294.0,False,False,48,13337,0.05,308.7
S-18b1f9,HealthTech,IN,Pro,A-02cd81,44,44,2156.0,False,False,55,15089,0.05,2263.8
S-18f498,FinTech,US,Basic,A-684255,9,28,532.0,False,False,58,10302,0.0,532.0
S-191550,DevTools,US,Basic,A-6c093d,7,15,285.0,False,False,36,11111,0.05,299.25
S-19465f,EdTech,AU,Basic,A-039727,25,25,475.0,False,False,38,15481,0.0,475.0
S-195cd5,FinTech,CA,Pro,A-ae052e,39,40,1960.0,False,True,74,17438,-0.05,1862.0
S-196e49,DevTools,US,Basic,A-0b0d6d,3,12,228.0,False,False,21,4620,0.0,228.0
S-1976bb,DevTools,AU,Basic,A-eb2fdc,31,31,589.0,False,False,40,17233,0.0,589.0
S-198dbe,EdTech,US,Pro,A-18793f,148,148,7252.0,False,False,101,33594,0.05,7614.6
S-19c44c,FinTech,UK,Basic,A-8b0451,41,41,779.0,False,False,37,10889,0.05,817.95
S-19cb09,FinTech,FR,Enterprise,A-d42431,22,22,4378.0,False,False,75,25207,-0.1,3940.2000000000003
S-19edee,FinTech,US,Enterprise,A-55f257,9,21,4179.0,False,False,55,22365,-0.1,3761.1
S-1a0f22,DevTools,UK,Enterprise,A-d26ab4,9,18,3582.0,False,False,59,13262,-0.05,3402.8999999999996
S-1a20b6,EdTech,FR,Pro,A-1e6fc3,1,5,245.0,False,False,60,22547,-0.1,220.5
S-1a2f35,FinTech,UK,Basic,A-832ec2,4,12,228.0,False,False,71,23469,0.0,228.0
S-1a2fbc,HealthTech,FR,Basic,A-526d93,43,45,855.0,False,False,46,11941,0.05,897.75
S-1a9fb7,HealthTech,US,Enterprise,A-b30291,5,16,3184.0,False,False,28,8380,-0.1,2865.6
S-1ac1b4,FinTech,US,Enterprise,A-ac14bb,21,21,4179.0,False,False,54,17389,-0.1,3761.1
S-1acdd2,DevTools,DE,Enterprise,A-7a0d69,4,26,5174.0,False,False,92,21159,-0.05,4915.3
S-1ad9cb,DevTools,US,Pro,A-4d1e75,20,20,980.0,False,False,74,26826,-0.05,931.0
S-1ade0b,DevTools,FR,Pro,A-22d9d2,8,92,4508.0,False,False,63,16288,0.0,4508.0
S-1b0848,HealthTech,US,Pro,A-dcc3f1,21,51,2499.0,False,False,53,15180,0.05,2623.9500000000003
S-1b4693,DevTools,US,Enterprise,A-cd458b,10,15,2985.0,False,False,58,16894,-0.05,2835.75
S-1b8454,FinTech,US,Enterprise,A-d4e0d4,117,117,23283.0,False,False,47,10700,-0.1,20954.7
S-1bc5a4,DevTools,US,Enterprise,A-560d27,23,23,4577.0,False,False,13,1885,0.05,4805.85
S-1bdc35,FinTech,US,Basic,A-bcf87c,10,10,190.0,False,False,32,6531,0.05,199.5
S-1be5a9,DevTools,UK,Enterprise,A-d26ab4,9,27,5373.0,False,False,54,16224,-0.1,4835.7
S-1bf697,EdTech,US,Pro,A-acb7f7,32,32,1568.0,False,False,22,7394,-0.05,1489.6
S-1c406a,DevTools,UK,Enterprise,A-82861f,41,53,10547.0,False,False,40,11852,-0.1,9492.300000000001
S-1c54b6,FinTech,US,Enterprise,A-0f6450,28,28,5572.0,False,False,43,9222,0.05,5850.6
S-1c5650,FinTech,CA,Pro,A-1e1b80,50,53,2597.0,False,False,29,2233,0.1,2856.7000000000003
S-1c643d,HealthTech,US,Basic,A-5a92e7,4,6,114.0,False,False,40,10040,0.1,125.4
S-1c7a41,DevTools,CA,Basic,A-4f18f0,24,24,456.0,False,False,30,11901,0.0,456.0
S-1ccdd4,Cybersecurity,IN,Pro,A-54d94a,27,27,1323.0,False,False,100,22260,-0.1,1190.7
S-1cdd2c,HealthTech,US,Pro,A-ac9111,21,21,1029.0,False,False,53,13401,-0.1,926.1
S-1cf9b0,Cybersecurity,US,Pro,A-922109,3,9,441.0,False,True,102,37798,0.0,441.0
S-1cfab2,DevTools,US,Enterprise,A-712f1c,17,37,7363.0,False,False,27,6682,0.0,7363.0
S-1cff18,FinTech,US,Basic,A-2789e3,11,11,209.0,False,False,46,12807,0.0,209.0
S-1d15a7,Cybersecurity,DE,Enterprise,A-1e50e0,19,19,3781.0,False,False,9,2331,0.05,3970.05
S-1d2d00,Cybersecurity,US,Basic,A-a7bd4b,5,9,171.0,False,True,76,19494,-0.1,153.9
S-1d3a93,EdTech,UK,Enterprise,A-d82ef9,26,26,5174.0,False,False,50,13030,0.05,5432.7
S-1d3af2,HealthTech,US,Basic,A-c42f1f,8,8,152.0,False,False,68,20175,0.0,152.0
S-1d4aa3,FinTech,US,Basic,A-e61e98,19,19,361.0,False,False,26,1853,-0.1,324.90000000000003
S-1d5f4e,Cybersecurity,US,Pro,A-ab438f,13,13,637.0,False,True,67,20109,0.05,668.85
S-1d63bf,FinTech,UK,Enterprise,A-69fad4,6,22,4378.0,False,True,85,22314,0.05,4596.900000000001
